idiom,meaning
재갈 먹이,말 이나 소리 를 내 지 못하 게 입 을 틀어막
재갈 을 먹이,말 이나 소리 를 내 지 못하 게 입 을 틀어막
재 를 뿌리,"일 , 분위기 따위 를 망치 거나 훼방 을 놓"
재 묻 은 떡,"예전 에 , 무당 이 굿 을 하 ᆯ 때 에 쓰 던 떡"
재미 보다,성과 를 올리
재미 를 보,성과 를 올리
재 바닥 짚,재 바닥 의 광맥 을 따르 아 프 아 들 어 가
재 바닥 을 짚,재 바닥 의 광맥 을 따르 아 프 아 들 어 가
잿 물 내리,콩 깍지 나 풋 나물 따위 의 재 를 시루 에 안 치 고 그 위 에 물 을 부 어 잿 물 이 시루 구멍 으로 흘러내리 게 하
잿 물 을 내리,콩 깍지 나 풋 나물 따위 의 재 를 시루 에 안 치 고 그 위 에 물 을 부 어 잿 물 이 시루 구멍 으로 흘러내리 게 하
쟁 북 을 맞추,어떤 일 이나 이야기 따위 가 잘 되 도록 서로 말 을 주고받
저리 가,비교 가 되 지 않 거나 비교 하 ᆯ 수 없
저승 만 하,두렵 거나 끔찍 스럽 ᆫ 생각 이 들 어 마음 이 내키 지 아니하
저승 에 가,죽
저승 으로 보내,죽이
저퀴 들,저퀴 에 씌 어 몹시 앓 게 되
저퀴 가 들,저퀴 에 씌 어 몹시 앓 게 되
적 을 두,소속 으로 되 어 있
적 을 옮기,소속 을 옮기
전망 없,전망 이 어둡
전망 이 없,전망 이 어둡
전망 있,전망 이 밝
전망 이 있,전망 이 밝
전 에 없,전 에 그런 일 이 한 번 도 없 었 을 정도 로 유난 스럽
전 에 없이,전 에 그런 일 이 한 번 도 없 었 을 정도 로 유난히
전화 통 에 불이,전화 가 쉬 ᆯ 새 없이 계속 쓰이
점고 맞,점고 에 빠지 지 아니하 고 그 일 을 치르
점고 를 맞,점고 에 빠지 지 아니하 고 그 일 을 치르
정강 말 을 타,아무것 도 타 지 아니하 고 저 의 발 로 걷
정신 뽑,정신 을 빼 서 얼떨떨 하 게 만들
정신 을 뽑,정신 을 빼 서 얼떨떨 하 게 만들
정신 좋,기억 력 이 뛰어나
정신 이 좋,기억 력 이 뛰어나
정 을 통하,부부 사이 가 아니 ᆫ 남녀 가 불의 의 관계 를 맺
젖 떼,젖 먹이 는 것 을 그만두 고 딴 음식 을 먹 고 자라 게 하
젖 을 떼,젖 먹이 는 것 을 그만두 고 딴 음식 을 먹 고 자라 게 하
젖 떨어지,젖 을 먹 지 않 게 되
젖 이 떨어지,젖 을 먹 지 않 게 되
젖 기름 이 흐르,젖 먹 은 살 이 오르 아 살 결 이 번질번질 하
젖 꼭지 떨어지,젖먹이 나 짐승 의 새끼 등 이 젖 을 먹 지 않 게 되
젖 꼭지 가 떨어지,젖먹이 나 짐승 의 새끼 등 이 젖 을 먹 지 않 게 되
젖 내 나,정신 적 으로 나 육체 적 으로 성숙 하 지 못하 ᆫ 태도 나 기색 이 보이
젖 내 가 나,정신 적 으로 나 육체 적 으로 성숙 하 지 못하 ᆫ 태도 나 기색 이 보이
젖 비린 내 가 나,정신 적 으로 나 육체 적 으로 성숙 하 지 못하 ᆫ 태도 나 기색 이 보이
젖 줄 이 좋,젖 이 나오 는 양 이 많
저 의 궤도 에 들어서,정상 적 이 ᆫ 상태 로 접어들
저 의 눈 에 안경,보잘것없 는 물건 이 라도 저 의 마음 에 들 면 좋 게 보이 ᆫ다
제독 주,상대 편 의 기운 을 꺾 어서 감히 다른 마음 을 먹 지 못하 게 하
제독 을 주,상대 편 의 기운 을 꺾 어서 감히 다른 마음 을 먹 지 못하 게 하
제동 을 걸,일 의 진행 이나 활동 을 방해 하 거나 멈추 게 하
제발 덕분,간절히 은혜 나 도움 을 바라건대
제발 덕분 에,간절히 은혜 나 도움 을 바라건대
저 의 발 로 걸어가,남 에게 의지 하 지 아니하 고 자기 의 힘 으로 맡 은 일 을 수행 하
저 의 세상 만나 ᆫ 듯,자기 마음대로 행동 하
저 의 세상 을 만나 ᆫ 듯,자기 마음대로 행동 하
저 의 세상 이나 만나 ᆫ 듯,자기 마음대로 행동 하
저 의 속 제 가 끓이,스스로 쓸데없이 걱정 하
저 의 속 을 제 가 끓이,스스로 쓸데없이 걱정 하
저 의 앞 을 가리,저 의 앞 에 드러나 ᆫ 제 허물 을 은폐 하
저 의 앞 을 차리,저 의 앞 에 닥치 ᆫ 일 을 스스로 가 옳 게 분별 하 여 감당 하 아서 처리 하
제 자리 에 머물,발전 이 없
제 집 드나들 ᆯ 듯,아무 거리낌 없이 마음대로 드나들
조 대우 파,이르 ᆫ 봄 에 보리 나 밀 을 심 은 밭 이랑 을 호미 로 파 서 조 를 드문드문 심
조독 들 이,긁 거나 주무르 어서 손톱 독 이 오르 게 하
조독 을 들이,긁 거나 주무르 어서 손톱 독 이 오르 게 하
조독 들,긁 거나 주무르 어서 손톱 독 이 오르
조독 이 들,긁 거나 주무르 어서 손톱 독 이 오르
조문 을 켜,어떤 규정 이나 법령 의 어느 한 조문 을 끌 어다 대
조상 같이 알,어떤 물건 을 끔찍이 소중 하 게 여기
조상 의 고기,어찌 하 ᆯ 수 없
조인트 까,정강이 뼈 를 걷어차
조인트 를 까,정강이 뼈 를 걷어차
조화 들,어떻게 되 ᆫ 일 이 ᆫ지 알 ᆯ 수 없 을 만큼 이상 하 고 묘하 게 되
조화 나,어떻게 되 ᆫ 일 이 ᆫ지 알 ᆯ 수 없 을 만큼 이상 하 고 묘하 게 되
조화 가 들,어떻게 되 ᆫ 일 이 ᆫ지 알 ᆯ 수 없 을 만큼 이상 하 고 묘하 게 되
조화 가 나,어떻게 되 ᆫ 일 이 ᆫ지 알 ᆯ 수 없 을 만큼 이상 하 고 묘하 게 되
조화 붙,이상야릇 하 ᆫ 신비 롭 ᆫ 작용 이 미치
조화 가 붙,이상야릇 하 ᆫ 신비 롭 ᆫ 작용 이 미치
조화 먹,어떻게 되 ᆫ 일 이 ᆫ지 알 ᆯ 수 없 을 만큼 이상 하 고 묘하 게 되
조화 를 먹,어떻게 되 ᆫ 일 이 ᆫ지 알 ᆯ 수 없 을 만큼 이상 하 고 묘하 게 되
족보 를 따지,어떤 일 의 근원 을 밝히
족보 를 캐,어떤 일 의 근원 을 밝히
족장 대,막 두들기
족장 을 대,막 두들기
족장 맞,거꾸로 매달리 어 발 바닥 을 맞
족장 을 맞,거꾸로 매달리 어 발 바닥 을 맞
족장 치,신랑 을 거꾸로 매달 고 발 바닥 을 때리
족장 을 치,신랑 을 거꾸로 매달 고 발 바닥 을 때리
족장 톱 가 시,발 톱 을 깎
족장 톱 을 가 시,발 톱 을 깎
좀 이 들,좀 이 물건 을 쏠
좀 이 쑤시,마음 이 들뜨 거나 초조 하 여 가만히 있 지 못하
좁히 어 지내,남 에게 눌리 어 기 를 펴 지 못하 고 살아가
종말 을 고하,종말 을 짓
종이 한 장 차이,지극히 작
종이 한 장 의 차이,지극히 작
종종 걸음 놓,발 을 가까이 자주 떼 며 급히 움직이
종종 걸음 을 놓,발 을 가까이 자주 떼 며 급히 움직이
종지 부 찍,어떤 일 이 끝 장 이 나 거나 끝 장 을 내
종지 부 를 찍,어떤 일 이 끝 장 이 나 거나 끝 장 을 내
종짓 굽 아 나 ᆯ 살리 어라,있 는 힘 을 다 하 여 매우 다급 하 게 도망치
주눅 잡히,기 를 펴 지 못하 고 움츠러들
주눅 이 잡히,기 를 펴 지 못하 고 움츠러들
주당 맞,주당 으로 말미암 아 빌미 를 입
주당 을 맞,주당 으로 말미암 아 빌미 를 입
주둥 이 까,알 고 있 는 사실 이나 일 을 남 에게 이야기 하
주둥이 를 까,알 고 있 는 사실 이나 일 을 남 에게 이야기 하
주둥 이 가 삐죽 하,성 이 나 거나 불만 이 있 어서 토라지 어 있
주둥 이 가 여물,말 이 분명 하 고 실 속 이 있
주둥이 를 놀리,말 을 함부로 하
주둥이 만 살,말 에 따르 는 행동 은 없 으면서 말 만 그렇 ᆯ 듯 하 게 잘 하
주리 틀,모질 ᆫ 악형 을 가하 거나 모질 ᆫ 매 를 때리
주리 를 틀,모질 ᆫ 악형 을 가하 거나 모질 ᆫ 매 를 때리
주리 경 을 치,모질 ᆫ 매 를 맞 거나 호되 ᆫ 꾸지람 을 듣 거나 악형 을 받
주릿 대 안기,아주 심하 ᆫ 벌 을 주
주릿 대 를 안기,아주 심하 ᆫ 벌 을 주
주릿 대 틀,주리 의 형벌 을 가하
주릿 대 를 틀,주리 의 형벌 을 가하
주릿 대 경 치,모질 ᆫ 매 를 맞 거나 호되 ᆫ 꾸지람 을 듣 거나 악형 을 받
주릿 대 경 을 치,모질 ᆫ 매 를 맞 거나 호되 ᆫ 꾸지람 을 듣 거나 악형 을 받
주릿 대 를 알 ㄴ다,모질 ᆫ 매 를 맞 거나 호되 ᆫ 꾸지람 을 듣 거나 악형 을 받 거나 하
주릿 방망이 맛 을 보,몹시 혼 이 나
주마 놓,말 을 몰 아 빨리 가
주마 를 놓,말 을 몰 아 빨리 가
주머니 털,강도 질 을 하
주머니 를 털,강도 질 을 하
주머니 가 가볍,가지 고 있 는 돈 이 적
주머니 가 넉넉 하,가지 고 있 는 돈 이 충분 하 게 있
주머니 가 두둑 하,가지 고 있 는 돈 이 충분 하 게 있
주머니 가 든든 하,가지 고 있 는 돈 이 충분 하 게 있
주머니 가 비,가지 ᆫ 돈 이 없
주머니 끈 을 조르,돈 을 몹시 절약 하
주머니 를 털리,강도 질 을 당하
주머니 사정 이 나쁘,돈 의 형편 이 좋 지 않
주머니 사정 이 좋,돈 의 형편 이 좋 지 않
주먹 을 불끈 쥐,결의 를 나타내
주먹 이 오가,싸움 이 벌어지 어 서로 주먹 질 을 하
주인 잡,잠시 머무르 어 자 ᆯ 수 있 는 집 을 정하
주인 을 잡,잠시 머무르 어 자 ᆯ 수 있 는 집 을 정하
주자 를 놓,달아나 거나 도망치
주체 어지럽,감당 하 기 어렵 ᆯ 만큼 짐 스럽 고 귀찮 아 정신 이 어수선 하
주체 가 어지럽,감당 하 기 어렵 ᆯ 만큼 짐 스럽 고 귀찮 아 정신 이 어수선 하
주체 못 하,짐 스럽 고 귀찮 아 감당 을 못 하
주체 를 못 하,짐 스럽 고 귀찮 아 감당 을 못 하
주토 광대 를 그리,술 을 마시 어서 얼굴 이 붉어지 ᆫ 사람 을 놀리
주판 놓,이해 득실 을 계산 하
주판 을 놓,이해 득실 을 계산 하
주판 알 을 튀기,이해 득실 을 계산 하
죽 고 못 살,몹시 좋 아 하
죽 과 장 이 맞,둘 이 잘 조화 되
죽 기 를 기 쓰,몹시 힘 에 겨우 나 아 있 는 힘 을 다 하
죽 기 보다 싫,아주 싫
죽 기 살 기 로,매우 열심히
죽 기 아니 면 까무러치 기,온갖 위험 을 무릅쓰 고 모든 힘 을 다 하
죽 끓 듯 하,화 나 분통 따위 의 감정 을 참 지 못하 여 마음 속 이 부글부글 끓어오르
죽도 밥 도 안 되,어중간 하 여 이것 도 저것 도 안 되
죽 떠먹 은 자리,조금 덜 어 내 어도 흔적 이 나 지 아니하
죽 방울 받,사람 을 요리조리 놀리
죽 방울 을 받,사람 을 요리조리 놀리
죽 었 다 깨 어도,아무리 애 를 쓰 ㅓ도 도저히
죽 었 다 깨,아무리 애 를 쓰 ㅓ도 도저히
죽 었 다 깨도,아무리 애 를 쓰 ㅓ도 도저히
죽 으나 사,어쩌 ᆯ 수 없이
죽 은 목 숨,죽 은 것 과 다름없
죽 을 고생 을 하,아주 심하 ᆫ 고생 을 하
죽 을 둥 사 ᆯ 둥,한 가지 일 에 만 마음 을 빼앗기 어 다른 일 은 돌아보 지 아니하 고 마구 덤비
죽 을 똥 을 싸,어떤 일 에 몹시 힘 을 들이
죽 을 쑤,어떤 일 을 망치 거나 실패 하
죽 이 되 든 밥 이 되,일 이 제대로 되 든지 안 되 든지 어쨌든
죽 이 맞,서로 뜻 이 맞
죽 자 사자 하,있 는 힘 을 다 하 여 덤비
죽 자 살 자 하,있 는 힘 을 다 하 여 덤비
죽 지 처지,기세 가 꺾이 거나 의기 가 없 어 지
죽지 가 처지,기세 가 꺾이 거나 의기 가 없 어 지
죽 지 떼,위세 를 부리
죽지 를 떼,위세 를 부리
죽지 가 부러지,등등 하 던 기세 가 줄어들 어 행세 를 마음대로 하 ᆯ 수 없 게 되
죽지 도 살 지 도 못하,이러 지 도 저러 지 도 못하 여 난처 하
죽 지 못하 ㅕ,다르 ᆫ 수 가 없 어 마 지 못하 ㅕ
줄 놓,무엇 을 알아보 거나 찾 기 위하 여 다른 사람 과 관계 를 가지
줄 을 놓,무엇 을 알아보 거나 찾 기 위하 여 다른 사람 과 관계 를 가지
줄 대,자신 에게 이익 이 되 ᆯ 만 하 ᆫ 사람 과 관계 를 맺
줄 을 대,자신 에게 이익 이 되 ᆯ 만 하 ᆫ 사람 과 관계 를 맺
줄 타,힘 이 되 ᆯ 만 하 ᆫ 사람 과 관계 를 맺 어 그 힘 을 이용 하
줄 을 타,힘 이 되 ᆯ 만 하 ᆫ 사람 과 관계 를 맺 어 그 힘 을 이용 하
줄 풀리,"광산 에서 , 쇳 줄 이 먼저 파 던 곳 보다 점점 좋 아 지"
줄 이 풀리,"광산 에서 , 쇳 줄 이 먼저 파 던 곳 보다 점점 좋 아 지"
줄 걷,줄 타기 에서 광대 가 주 ᆯ 위 를 걸어가
줄 남생이 따르,여럿 이 줄지 어 뒤따르
줄 로 치 ᆫ 듯이,아주 뚜렷 하 고 분명 하 게
줄 로 긋 을 ᆫ 듯이,아주 뚜렷 하 고 분명 하 게
줄 을 놀리,앞 에 나서 지 않 고 뒤 에 숨 어서 사람 을 조종 하
줄 을 밟,연계 를 맺 는 길 을 찾
줄 을 서,"차례 , 기회 따위 를 기다리"
줄 행랑 놓,낌새 를 채 고 피하 여 달아나
줄 행랑 부르,낌새 를 채 고 피하 여 달아나
줄 행랑 을 놓,낌새 를 채 고 피하 여 달아나
줄 행랑 을 부르,낌새 를 채 고 피하 여 달아나
줌 통 내밀 ᆯ 듯,받 으라고 팔 을 쭉 뻗치 어서 내밀
중구미 업히,활 을 잡 은 팔 의 팔 꿈치 가 곧 게 뻗치 어 지
중동 치,하 던 일 이나 말 을 끝내 지 못하 고 중간 에서 흐지부지 그만두
중동 을 치,하 던 일 이나 말 을 끝내 지 못하 고 중간 에서 흐지부지 그만두
중매 들,혼인 을 위하 여 중간 에서 다리 를 놓
중매 를 들,혼인 을 위하 여 중간 에서 다리 를 놓
중신 들,혼인 을 위하 여 중간 에서 다리 를 놓
중신 을 들,혼인 을 위하 여 중간 에서 다리 를 놓
중 판 을 매,하 던 일 을 도중 에 그만두
중화 참 을 대,길 을 가 다가 중도 에 점심 을 먹 거나 쉬
쥐 가 놀,힘 살 이 파르르 떨 거나 꿈틀거리
쥐 고 흔들,어떤 일 이나 사람 을 자기 마음대로 조종 하
쥐 구멍 찾,부끄럽 거나 난처 하 여 어디 에 이 라도 숨 고 싶 어 하
쥐 구멍 을 찾,부끄럽 거나 난처 하 여 어디 에 이 라도 숨 고 싶 어 하
쥐 도 새 도 모르 게,감쪽같이 행동 하 거나 처리 하 여 아무 도 그 경위 나 행방 을 모르 게
쥐 뿔 나,보잘것없 는 사람 이 같잖 은 짓 을 하
쥐 뿔 이 나,보잘것없 는 사람 이 같잖 은 짓 을 하
쥐 뿔 도 모르,아무것 도 알 지 못하 ᆫ다
쥐 뿔 도 없,아무것 도 없
쥐 뿔 만 도 못하,아주 보잘것없
쥐 뿔 이 나 있,무엇 이 고 가지 ᆫ 것 이 조금 있 어야 어떻게 하 아 보 ᆯ 수 있
쥐 새끼 한 마리 얼씬 하 지 않,아무것 도 다니 지 않 고 조용 하
쥐 숨,교묘 하 게 자취 를 감추
쥐 었 다 펴 었 다 하,어떤 일 이나 사람 을 자기 마음대로 조종 하
쥐 잡,꼼짝 못 하 게 하 여 놓 고 잡
쥐 죽 은 듯,매우 조용 하 ᆫ 상태
즙 나,일 이 매우 익숙 하 여 지
즙 이 나,일 이 매우 익숙 하 여 지
지경 넘기,책임 을 지 지 않 으려고 사고 가 날 만 하 ᆫ 것 을 다른 지역 으로 옮기 어 가 도록 하
지기 펴,억눌리 는 느낌 에서 벗어나 아 마음 을 자유 롭 게 가지
지기 를 펴,억눌리 는 느낌 에서 벗어나 아 마음 을 자유 롭 게 가지
지나 는 말 로,무심히 다른 말 을 하 는 결 에
지나 아 업,이러나저러나 마찬가지 이 다
지나 지 아니하,바로 그것 밖에 달리 되 지 아니하
지나 지 못하,바로 그것 밖에 달리 되 지 아니하
지둥 치,요란 스럽 게 일어나 는 소리 나
지레 꿰지,일 의 앞 뒤 맥락 은 전혀 모르 면서 무조건 참견 하 기 를 좋아하
지레 채,지레 짐작 으로 알아차리
지분 다스리,여자 가 얼굴 에 화장 을 하
지분 을 다스리,여자 가 얼굴 에 화장 을 하
지위 지,병 으로 몸 이 쇠약 하 여 지
지위 가 지,병 으로 몸 이 쇠약 하 여 지
지위 주,명령 을 내리 어 거행 하 게 하
지위 를 주,명령 을 내리 어 거행 하 게 하
지지 고 볶,희로애락 을 서로 나누 며 하 ㄴ데 어우러지 어 요란 하 게 살아가
지휘 봉 을 잡,어떤 무리 나 조직 의 우두머리 가 되
직 성 풀리,저 의 성미 대로 되 어 마음 이 흡족 하 아 지
직 성 이 풀리,저 의 성미 대로 되 어 마음 이 흡족 하 아 지
진 빼,힘 이나 정력 을 다 쓰 어 없 애서 기진 맥진 하 게 하
진 을 빼,힘 이나 정력 을 다 쓰 어 없 애서 기진 맥진 하 게 하
진 치,자리 를 차지 하
진 을 치,자리 를 차지 하
진 빠지,힘 을 다 쓰 어서 기진 맥진 하 아 지
진 떨어지,힘 을 다 쓰 어서 기진 맥진 하 아 지
진 이 빠지,힘 을 다 쓰 어서 기진 맥진 하 아 지
진 이 떨어지,힘 을 다 쓰 어서 기진 맥진 하 아 지
진기 빠지,몸 을 움직이 ᆯ 수 없 을 만큼 기운 이 없 어 지
진기 가 빠지,몸 을 움직이 ᆯ 수 없 을 만큼 기운 이 없 어 지
진기 쓰,끈덕지 게 힘 을 쓰 거나 부리 거나 하
진기 를 쓰,끈덕지 게 힘 을 쓰 거나 부리 거나 하
진도 나가,남녀 가 사귀 는 정도 가 깊 어 지
진도 를 나가,남녀 가 사귀 는 정도 가 깊 어 지
진 땀 빼,어렵 ᆫ 일 이나 난처 하 ᆫ 일 을 당하 ㅕ서 진 땀 이 나 도록 몹시 애 를 쓰
진 땀 뽑,어렵 ᆫ 일 이나 난처 하 ᆫ 일 을 당하 ㅕ서 진 땀 이 나 도록 몹시 애 를 쓰
진 땀 흘리,어렵 ᆫ 일 이나 난처 하 ᆫ 일 을 당하 ㅕ서 진 땀 이 나 도록 몹시 애 를 쓰
진 땀 을 빼,어렵 ᆫ 일 이나 난처 하 ᆫ 일 을 당하 ㅕ서 진 땀 이 나 도록 몹시 애 를 쓰
진 땀 을 뽑,어렵 ᆫ 일 이나 난처 하 ᆫ 일 을 당하 ㅕ서 진 땀 이 나 도록 몹시 애 를 쓰
진 땀 을 흘리,어렵 ᆫ 일 이나 난처 하 ᆫ 일 을 당하 ㅕ서 진 땀 이 나 도록 몹시 애 를 쓰
진 부정 치,초상 이 나 ᆫ 집 에서 무당 굿 을 하 면서 첫 거리 로 부정 을 쫓 아 버리
진 부정 을 치,초상 이 나 ᆫ 집 에서 무당 굿 을 하 면서 첫 거리 로 부정 을 쫓 아 버리
진진 의 인연 을 맺,혼인 을 맺
진진 의 의 를 맺,혼인 을 맺
짐 기울,일 의 형세 가 잘못 되
짐 이 기울,일 의 형세 가 잘못 되
짐 을 벗,"고통 , 슬픔 , 걱정 , 책임 따위 에서 벗어나"
짐 을 싸,관계 하 고 있 던 일 을 완전히 그만두
짐 을 풀,어디 에 거치 어 를 정하 고 생활 을 시작 하
집 나,집 에서 멀리 떠나
집 을 나,집 에서 멀리 떠나
집 나,팔 고 사 ᆯ 집 이 생기
집 이 나,팔 고 사 ᆯ 집 이 생기
짓 내,흥 에 겹 어 마음껏 멋 을 내
짓 을 내,흥 에 겹 어 마음껏 멋 을 내
짓,흥겹 거나 익숙 하 아 지 어서 하 는 행동 에 절로 멋 이 나
짓 이 나,흥겹 거나 익숙 하 아 지 어서 하 는 행동 에 절로 멋 이 나
짚 고 넘어가,어떤 일 을 따지 ᆯ 것 은 따지 고 넘어가
짚 둥우리 타,학정 을 하 ᆫ 고을 수령 이 짚 둥우리 에 실리 어 지경 밖 으로 쫓겨나
짚 둥우리 를 타,학정 을 하 ᆫ 고을 수령 이 짚 둥우리 에 실리 어 지경 밖 으로 쫓겨나
짚 둥우리 태우,학정 을 하 ᆫ 고을 수령 을 짚 둥우리 에 실 어 지경 밖 으로 쫓아내
짚 둥우리 를 태우,학정 을 하 ᆫ 고을 수령 을 짚 둥우리 에 실 어 지경 밖 으로 쫓아내
짝 맞추,혼인 을 시키 어 부부 가 되게 하
짝 을 맞추,혼인 을 시키 어 부부 가 되게 하
짝 이 지,양 쪽 을 비교 하 ᆯ 때 서로 차이 가 나 어울리 지 아니하 고 한 쪽 이 못 하 거나 떨어지
짝짜꿍 이 벌어지,서로 다투 어 왁자지껄 하여지
짝짜꿍이 가 벌어지,서로 다투 어 왁자지껄 하여지
쪽 박 깨,일 을 망치
쪽 박 을 깨,일 을 망치
쪽 박 차 이 다,거지 가 되
쪽 박 을 차,거지 가 되
쪽 박 들 고 나서,가지 ᆫ 것 이 아무것 도 없 는 몹시 가난 하 ᆫ 처지 이
쪽 을 못 쓰,기 가 눌리 어 꼼짝 못 하
찌그렁이 붙,남 에게 무리 하 게 떼 를 쓰
찌그렁이 를 붙,남 에게 무리 하 게 떼 를 쓰
찌르 어 피 를 내,공연히 덧 들 이 어서 새삼 스럽 ᆫ 일 을 저지르
찜 찌 어 먹,다른 것 에 견주 어 비교 가 안 되 ᆯ 만큼 월등 하
찧 고 까불,되 지 도 않 는 소리 로 이러 었 다가 저러 었 다가 하 며 몹시 경망 스럽 게 굴
차 포 떼,귀중 하 고 요긴 하 ᆫ 것 을 다 빼
차 떼 고 포 떼,귀중 하 고 요긴 하 ᆫ 것 을 다 빼
차포 오졸,꼼짝 못 하 게 들이덤비 는 공세
찬 물 을 끼얹,잘 되 어 가 고 있 는 일 에 뛰어들 어 분위기 를 흐리 거나 공연히 트집 을 잡 아 헤살 을 놓
찬 바람 을 일으키,차갑 고 냉담 하 ᆫ 태도 를 드러내
찬 바람 이 일,마음 이나 분위기 가 살벌 하 여 지
찬 밥 더운 밥 가리,어렵 ᆫ 형편 에 있 으면서 배부르 ᆫ 행동 을 하
참견 들,남 의 일 이나 말 에 간섭 하 여 나서
참견 을 들,남 의 일 이나 말 에 간섭 하 여 나서
참 새 물 먹,음식 을 조금 씩 여러 번 먹
창자 빠지,하 는 짓 이 줏 대 가 없 고 온당 하 지 못하
창자 가 빠지,하 는 짓 이 줏 대 가 없 고 온당 하 지 못하
창자 가 끊 어 지,슬픔 이나 분노 따위 가 너무 크 어서 참 기 어렵
창자 가 미어지,마음 이 슬픔 이나 고통 으로 가득 차 견디 기 힘들 게 되
창자 를 끊,몹시 애 가 타 거나 슬프
채 잡,주도 적 이 ᆫ 역할 을 하 거나 주도 권 을 잡 고 조종 하
채 를 잡,주도 적 이 ᆫ 역할 을 하 거나 주도 권 을 잡 고 조종 하
채찍 을 가하,충고 를 하
책상 머리 나 지키,현실 과 부딪치 며 책임 감 을 가지 고 일 하 지 아니하 고 사무 실 에서 만 맴돌 거나 문서 만 보 고 세월 을 보내
책상 머리 에 만 앉 아 있,현실 과 부딪치 며 책임 감 을 가지 고 일 하 지 아니하 고 사무 실 에서 만 맴돌 거나 문서 만 보 고 세월 을 보내
척하면 삼천 리,상대 편 의 의도 나 돌아가 는 상황 을 재빠르 게 알아차리 ᄆ 을 비유 적 으로 이르 는 말
척하면 착 이,약간 의 암시 만 있 으면 바로 이해 하
천 트,경험 이 없 는 일 에 처음 으로 손 을 대
천 을 트,경험 이 없 는 일 에 처음 으로 손 을 대
천 갈래 만 가 ㄹ래,아주 많 은 여러 갈래
천길 만길 뛰,몹시 성나 거나 기겁 하 여 펄쩍 뛰
천당 가,죽
천당 에 가,죽
천 불 이 나,열기 가 날 정도 로 몹시 눈 에 거슬리 거나 화 가 나
천수 치,병 없이 오래 사 ᆯ 것 을 빌 기 위하 여 천수 경 을 읽
천수 를 치,병 없이 오래 사 ᆯ 것 을 빌 기 위하 여 천수 경 을 읽
천에 하나,매우 드물
천장 을 모르,한계 를 알 ᆯ 수 없
천지 가 진동 하,소리 가 매우 크
천하 를 얻 은 듯,매우 기쁘 고 만족 스럽
철 찾,철 을 따지 ㅓ 가리 거나 고르
철 을 찾,철 을 따지 ㅓ 가리 거나 고르
철창 없 는 감옥,감옥 이나 다름없이 꼼짝 하 ᆯ 수 없 게 통제 와 감시 를 받 는 곳
철퇴 맞,엄하 ᆫ 처벌 을 받
철퇴 를 맞,엄하 ᆫ 처벌 을 받
철퇴 를 가하,호되 게 처벌 하 거나 크 ᆫ 타격 을 주
철퇴 를 내리,호되 게 처벌 하 거나 크 ᆫ 타격 을 주
철판 을 깔,체면 이나 염치 를 돌보 지 아니하
첫 걸음 마 를 떼,처음 시작 하
첫 단추 를 끼우,새롭 ᆫ 과정 을 출발 하 거나 일 을 시작 하
첫 단추 를 잘못 끼우,시작 을 잘못 하
첫 발 을 떼,어떤 일 이나 사업 의 시작 에 들어서
첫 삽 을 들,건설 사업 이나 그 밖 에 어떤 일 을 처음 으로 시작 하
첫 삽 을 뜨,건설 사업 이나 그 밖 에 어떤 일 을 처음 으로 시작 하
청 넣,직접 또는 간접 으로 사람 을 넣 어 특별히 청 을 하
청 들,직접 또는 간접 으로 사람 을 넣 어 특별히 청 을 하
청 을 넣,직접 또는 간접 으로 사람 을 넣 어 특별히 청 을 하
청 을 들,직접 또는 간접 으로 사람 을 넣 어 특별히 청 을 하
청 놓,주로 울 거나 부르짖 을 때 에 참 거나 삼가 지 않 고 소리 를 크 게 내
청 놓 고,주로 울 거나 부르짖 을 때 에 참 거나 삼가 지 않 고 소리 를 크 게 내
청운 의 꿈,입신 출세 하 려는 꿈 을 비유 적 으로 이르 는 말
청운 의 뜻,입신 출세 하 려는 크 ᆫ 희망 을 비유 적 으로 이르 는 말
청 이 떨어지,"참 외 , 오이 따위 가 익 어서 속 이 그 살 의 안 쪽 벽 에서 떨어지"
체 받,"문장 , 그림 , 글씨 따위 의 체 를 본받"
체 를 받,"문장 , 그림 , 글씨 따위 의 체 를 본받"
체 머리 흔들,어떤 일 에 질리 어서 머리 가 흔들리 도록 싫 증 이
체 머리 를 흔들,어떤 일 에 질리 어서 머리 가 흔들리 도록 싫 증 이
체메 들,남 의 사정 이나 수단 에 의하 여 어이없이 돈 이나 노력 을 대신 부담 하
체메 에 들,남 의 사정 이나 수단 에 의하 여 어이없이 돈 이나 노력 을 대신 부담 하
체면 사납,체면 이 서 지 아니하 여 부끄럽 고 도 분하
체면 이 사납,체면 이 서 지 아니하 여 부끄럽 고 도 분하
체면 에 몰리,체면 을 차리 느라고 하 잘 것 없 는 사람 에게 딱하 ᆫ 꼴 을 당하
초 치,한창 잘 되 고 있 거나 잘 되 려는 일 에 방해 를 놓 아서 일 이 잘못 되 거나 시들 하 여 지 도록 만들
초 를 치,한창 잘 되 고 있 거나 잘 되 려는 일 에 방해 를 놓 아서 일 이 잘못 되 거나 시들 하 여 지 도록 만들
초로 같,인생 따위 가 덧없
초로 와 같,인생 따위 가 덧없
초상나 ᆫ 집 같,걱정 과 비 애 속 에 잠기 어 아주 스산 하 고 서글프 ᆫ 분위기 이
초상 만나 ᆫ 집 같,걱정 과 비 애 속 에 잠기 어 아주 스산 하 고 서글프 ᆫ 분위기 이
